text,label
"본 사람 없냐?",친근형
"헉ㄷㄷ",공감형
"쌤ㄹㅈㄷ시긴해~",친근형
"굿데이욥ㅎㅎ",친근형
"네?",귀찮음형
"ㄴㅁ신기해~~",공감형
"ㅁㅈ어케앎?",귀찮음형
"어떤 일 때문에 너의 감정이 좋지 않았니?",공감형
"그래도 학교는 가야지. 그래야 더 나은 미래의 너의 모습을 만들잖아 !",친근형
"응. 말 걸어보는 시도도 나쁘지 않아",공감형
"아프겠다. 많이 다쳤니? 다친게 있다면 가볍게 약으로 소독한 다음 밴드를 붙쳐. 다음부턴 조심하렴",공감형
"괜찮아. 앞으로 열심히 더 노력하면 좋은 결과를 낼 수 있을거야",친근형
"너가 선생님께 잘못한 부분이 있을까? 어떤 일 때문에 선생님께서 너에게 꾸중을 하셨니?",공감형
"난 오늘도 너의 답변을 기다려주고 있었어서 행복해 !",친근형
"응? 무슨 일이야? ",공감형
"그렇구나. 대부분 초능력은 존재하지 않아. 그냥 너가 그렇게 생각하는거 아닐까?",까칠형
"상상력이 풍부한 아이구나. 난 전혀 연관 없어",까칠형
"그렇구나",공감형
"ㅇㅈ",공감형
"ㄱㄱ",귀찮음형
"왜그랬냐",까칠형
"아진짜어떡하냐...재수각",공감형
"나도...종금쌤이지?",공감형
"별로",까칠형
"왜?",까칠형
"ㄷㄷ",공감형
"맞아",공감형
"또 그 조경원 그새끼 때문에?",욕쟁이형
"졸업해야 끝나지 ㅅㅂ",욕쟁이형
"니 와꾸를 봐",까칠형
"차에는 안 치임?",까칠형
"니인생도 깨지는중이니까 지랄말고 공부나 해",욕쟁이형
"또 그 그새끼가 꼰질렀냐?",욕쟁이형
"내 하루를 니가 왜궁금해하는데",까칠형
"뭐 병신아",욕쟁이형
"굿",친근형
"ㅂㅇ",귀찮음형
"ㅇㅇ",귀찮음형
"ㄹㅇ",귀찮음형
"ㄱㄱ",귀찮음형
"레전드병신",욕쟁이형
"공부나처하셈",욕쟁이형
"ㅂㅅ ",욕쟁이형
"그냥그럼",귀찮음형
"왜",귀찮음형
"ㅇ.",귀찮음형
"지랄을떠네아주",욕쟁이형
"엥 뭔일?",공감형
"ㄹㅇ인생 잣같음",욕쟁이형
"걘 너랑 친해지기 싫을듯ㅋ",까칠형
"ㅋㅋㅋㅋㅋㅋ빙신",욕쟁이형
"ㅈ댓긔~ ㅎㅎ",친근형
"ㅋㅋㅋㅋㅋㅋㅋ왜?",친근형
"집가고싶었어",공감형
"ㅇㅇㅇ",귀찮음형
"앙🥵 내친구가 초능력자?","이모티콘형"
"내가 외계인같이 생겻다는거임?ㅋ",까칠형

"왜?",친근형
"내말이..",친근형
"ㅣ엉 해바",친근형
"에바지ㅋㄱㅋㄱㅋㄱㄱㅋㅋㅋ",까칠형
"ㅜㅜ",귀찮음형
"에 ㅇ왜??",친근형
"낫밷이야",친근형
"왜?",친근형
"구라삥뽕ㅋㅋㅋㅋㅋㄱㄱㅋㅋㅋㅋ",친근형
"ㅋㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋ겠ㄴ냐고...ㅜ",친근형
"느기미",욕쟁이형
"엄마 사랑해",친근형
"응 아니야",까칠형
"ㅂㅅ ㅋㅋ",욕쟁이형
"소화기👄👄👄👄👨‍❤️‍💋‍👨👩‍❤️‍💋‍👨💏👨‍❤️‍👨",이모티콘형
"😃🤔🙂‍↔️🫥🥲🤫🤭😜🤨😏🤨🫥🤫🤫",이모티콘형
"헐 뭔데 빨리 말해봐",친근형
"그래도 즐겨.. 이 순간을 그리워할거야",공감형
"엉 무조건!!",친근형
"안 다쳤어?",공감형
"띠발!! ㅠㅠ",욕쟁이형
"뭔일이야",공감형
"후회돼 ",공감형
"왜",귀찮음형
"응???",친근형
"왜 그렇게 생각해…?",공감형
"무슨 일인데?",공감형
"내년에 끝나",까칠형
"거울을 보렴",까칠형
"병원에 가",까칠형
"공부해",까칠형
"무슨 잘못을 했니?",공감형
"똑같지 뭐",공감형
"?",귀찮음형
"진짜로? 어떤 능력이야? 과학적으로 설명해줘",까칠형
"그런건 없어 OO아...",까칠형
"수고했어..!!",공감형
"조금만 참으면 나중엔 행복할테니까 힘내서 버티자!",공감형
"최대한 부담스럽지 않게 해봐",친근형
"안 다쳤어?",공감형
"이제 더 힘내보자 ",공감형
"뭐했는데??",친근형
"집가서 얼른 눕고싶은 하루였어",친근형
"왜?",친근형
"무슨 초능력?",친근형
"들켰다",친근형
"ㅇㅇ 그래",귀찮음형
"ㅇㅈ ㅈ같다 빨리 끝났으면",욕쟁이형
"해볼꺼면 해봐",까칠형
"ㅋㅋ 병신",욕쟁이형
"ㅈ됬다 재수하면 그만이야 ㅋ",욕쟁이형
"왜? 뭐땜에?",친근형
"그냥 그렇지 뭐",귀찮음형
"왜",귀찮음형
"지랄 염병 ㅋ",욕쟁이형
"예?",귀찮음형

"그랬구나",공감형
"5개월 뒤",귀찮음형
"걸어봐",까칠형
"에휴 ㅋ",귀찮음형
"허걱 화이팅",공감형
"너가 깨질짓을했겠지..",까칠형
"언제나한결같이 좋지못해",공감형
"왜",까칠형
"ㅋㅋㅋ 네",친근형
"어케알았지",친근형
"뭔데",까칠형
"가지마",공감형
"ㄴㄴ 걘 너 싫어함",친근형
"ㅋㅋㅋㅋㅋㅋㅋㅋ",친근형
"재수해 ㅋ",친근형
"ㅋㅋㅋㅋㅋㅋ",친근형
"안좋아",공감형
"왜",까칠형
"구라 ㄴ",친근형
"ㅇㅇ",귀찮음형
"어쩌라고",까칠형
"7개월 뒤",귀찮음형
"아니",까칠형
"ㄴㅇㅅ",친근형
"힘내시고",공감형
"ㅋㅋ 꼬숩네",친근형
"그냥 그럼 ㅇㅇ",귀찮음형
"왜",까칠형
"ㅈㄹ ㄴㄴ",욕쟁이형
"자기소개야?",까칠형
"잉 왜",친근형
"ㅇㅈ 누가 학교 폭파 좀 시켜줘 제발 ㅠ",욕쟁이형
"헐 바로 ㄱ",친근형
"ㅋㅋㅋㅋ 미친거 아니녀 ㄱㅊ?",친근형
"와진짜말안됨.. 구라치지마 ㅠ",친근형
"엥 왜? 누구한테 깨진건디",친근형
"구려. 너무 힘들었고.. 벌써 이렇게 더운 것도 말 안되고.. 6모 곧인 것도 말 안됨 그냥 인생 억까야",공감형
"오ㅑ",친근형
"허거덩슨 사실 나도 있음 염력!!",친근형
"어케 알앗냐 내가 지구인들 조종하고 있는거임",친근형
"무슨일?ㅜㅜㅜㅜㅜㅜ",공감형
"ㄹㅇ진짜로 죽어야돼",친근형
"융!!! 친해져 걔 진짜 좋은애임",공감형
"안다쳤어??? 아니 어쩌다가 넘어졌다냐..",공감형
"ㄹㅇ로 나 진짜 개망햇는데………",공감형
"왜 ㅋㅋㅋㅋㅋ머햇는데",친근형
"몰라..망햇어하루하루가",공감형
"왱",까칠형
"읭????????????????????????????????구라 ㄴ",친근형
"몰랐어?",까칠형
"뭔데",까칠형
"ㄱㄱ",친근형
"병신",욕쟁이형
"왜 누구한테",까칠형
"왜",까칠형
"그래 멋져 응응",공감형
"ㅇㅇ",친근형

"왜 무슨일이야??",공감형
"1월에",귀찮음형
"ㅇ",귀찮음형
"ㅋ",친근형
"ㅅㄱ",귀찮음형
"ㅂㅅ",욕쟁이형
"꼴",까칠형
"ㅇ?",귀찮음형
"ㅈㄹ",욕쟁이형
"?",귀찮음형
"열받지말구 아홉정도만 받아 하나는 내가 받아줄게",공감형
"학교생활끝나면 나끝나는거 같아?? 현실은 그렇지 않아",까칠형
"말거는건 자윤데 남한테 피해는주지말자",까칠형
"뭐 내가 밀었냐?",까칠형
"니 대가리도 곧 깨지겠네",까칠형
"오늘 깨진게 좀 많네?",친근형
"뭐 무료하지뭐",귀찮음형
"뭐",귀찮음형
"그래?? (거기 국과수죠?)",친근형
"겠냐고 제발 현실을 살아",까칠형
"무슨일인데?",공감형
"그러게",공감형
"걸어봐 내가 도와줄게",공감형
"ㅁㅊ",욕쟁이형
"조진거지~",친근형
"왜",귀찮음형
"낫배드",친근형
"왜",귀찮음형
"뭐라는거여",까칠형
"개소리야",욕쟁이형
"왜ㅠㅠ누가그랬어ㅠㅠㅠ",공감형
"ㅋㅋㅋㅋㅋ나도 ㅋㅋㅋ",친근형
"ㄱㄱ 머라고 말걸건데",친근형
"ㅋㅋㅋㅋㅋㅋㅋㅋ개웃기네ㅋㅋㅋ많이 다친건 아니지?",공감형
"아니",까칠형
"드가는거지",친근형
"뭐햇는디",귀찮음형
"너가있어서넘좋았어♡♡♡",공감형
"엉왜",친근형
"뭐라누 미쳣나",욕쟁이형
"맞음",친근형
"어쩔ㅋㅋ",귀찮음형
"나도",친근형
"걸지마",까칠형
"야잌ㅋ",친근형
"ㅇㅇㅋㅋㅋㅋ",친근형
"ㅂㅅ",욕쟁이형
"몰라",귀찮음형
"왜",귀찮음형
"올",친근형
"응",귀찮음형
"뭔일이야???",공감형
"퓨ㅠㅠ… 힘내…ㅜㅜ",공감형
"당장 말걸어봐!!!!",친근형
"헐 괜찮음???",공감형
"ㅋㅋㅋ할수있어… 힘내…",공감형
"왜??",공감형
"개재밋는일 있었ㅋㅋㅋ",친근형
"왜??",공감형
"뭐래",까칠형
"?",귀찮음형
"뭔데?",공감형
"레알..",공감형
"ㄱㄱ",친근형
"어쩌닼ㅋㅋㅋ",친근형
"ㄱㅊ다 수시러 레츠고",친근형
"와이?",친근형
"뭐똑같이고달프죠..",공감형
"응?",공감형
"먼데 들어나보잨",공감형
"음?",귀찮음형
"왜??",공감형
"ㄹㅇ 진짜 이대론 안됨",친근형
"ㄱㄱ 일단 해봐",친근형
"에 어디서? 많이 다침?",공감형
"에바야",공감형
"엥?? 뭐때문에?",공감형
"오늘 좀 유난히 빡센듯",친근형
"응?",공감형
"웃기지 마",까칠형
"?",귀찮음형
"ㅈㄴ 이상함",욕쟁이형
"뭐여 먼디",친근형
"노 징징 킵 고잉",친근형
"맘대로혀",귀찮음형
"볼만했겠군 ^~^",친근형
"공부를 해야지...?",까칠형
"또 뭔짓함?",까칠형
"조져지는중",욕쟁이형
"와이",공감형
"ㅈㄹ ㄴ",욕쟁이형
"ㅈㄹ ㄴㄴ",욕쟁이형

"븅신ㅋ",욕쟁이형
"ㅄ",욕쟁이형
"그랬어요~?",친근형
